Departamentos,Posicion
Arequipa,"-15.9278695, -72.6743942"
Amazonas,"-5.1011627, -78.1878921"
Ancash,"-9.3384573, -77.7480944"
Apurimac,"-13.9349686, -73.0125155"
Ayacucho,"-14.1190928, -74.2192829"
Cajamarca,"-6.2198431, -78.9210626"
Cusco,"-12.9407548, -72.3689644"
Huancavelica,"-12.9486622, -75.0365943"
Huanuco,"-9.6375858, -76.2547490"
Ica ,"-14.1859883, -75.7564680"
Junin,"-11.5508170, -74.9267679"
La libertad,"-7.9406860, -78.7067836"
Lambayeque,"-6.3232233, -79.8274186"
Loreto,"-4.1349659, -74.4834088"
Madre de Dios,"-12.1500887, -70.6456139"
Moquegua,"-16.9541109, -70.8806958"
Pasco,"-10.4197242, -75.3937391"
Piura,"-5.0450016, -80.5179566"
Puno,"-14.9218043, -70.1138140"
San Martin,"-7.0360922, -76.7934278"
Tacna ,"-17.6217218, -70.2904348"
Tumbes,"-3.8416084, -80.5789789"
Ucayali,"-9.7487582, -73.5461578"
Lima,"-11.6621769, -76.6450483"
